RefId,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost,IsBadBuy
11,1/8/2010 0:02,ADESA,2006,4,CHRYSLER,300,Bas,4D SEDAN,BLACK,AUTO,2,Covers,62230,AMERICAN,SPECIALTY,CHRYSLER,9090,10656,13016,14681,10119,11611,14134,15616,,,5546,33619,FL,10100,0,1215,0
12,1/15/2010 0:02,ADESA,2002,8,OLDSMOBILE,ALERO 4C,GL,4D SEDAN GL1,BROWN,AUTO,2,Covers,77233,AMERICAN,MEDIUM,GM,2072,2862,5511,7612,2099,3193,4617,5559,,,5546,33619,FL,4600,0,1806,0
13,1/1/2010 0:03,ADESA,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,REG CAB 3.7L,RED,AUTO,1,Alloy,59391,AMERICAN,LARGE TRUCK,CHRYSLER,4526,5582,8143,9500,4446,5621,7944,9710,,,5546,33619,FL,7600,0,505,0
14,1/8/2010 0:03,ADESA,2007,3,KIA,OPTIMA 4C,EX,4D SEDAN,SILVER,AUTO,2,Covers,68165,OTHER ASIAN,MEDIUM,OTHER,7151,7576,10339,10720,6603,8038,10146,11314,,,19638,33619,FL,7300,0,728,0
15,1/15/2010 0:03,ADESA,2002,8,FORD,RANGER PICKUP 2WD V6,Edg,2D EXT CAB 3.0L EDGE,YELLOW,MANUAL,1,Alloy,75484,AMERICAN,SMALL TRUCK,FORD,4661,5666,7917,9071,4871,6061,8005,9312,,,5546,33619,FL,7100,0,869,0
16,1/29/2010 0:03,ADESA,2005,5,FORD,TAURUS,SEL,4D SEDAN SEL FFV,SILVER,AUTO,1,Alloy,66695,AMERICAN,MEDIUM,FORD,4668,5538,7714,8713,3566,4775,6591,8258,,,19619,33619,FL,6000,0,825,0
17,1/5/2010 0:04,ADESA,2006,4,FORD,FOCUS,ZX4,4D SEDAN ZX4 SE,RED,AUTO,1,Alloy,88832,AMERICAN,COMPACT,FORD,5241,6547,8582,9440,5218,6367,8921,9971,,,21973,33619,FL,5800,0,1243,0
18,1/5/2010 0:04,ADESA,2007,3,CHEVROLET,IMPALA,LT,4D SEDAN LT 3.5L,SILVER,AUTO,1,Alloy,58384,AMERICAN,LARGE,GM,8186,9635,11287,12886,7785,9492,11285,13220,,,21973,33619,FL,8300,0,1500,0
19,1/5/2010 0:04,ADESA,2004,6,FORD,EXPEDITION 2WD V8,XLT,4D SUV 4.6L XLT,BLUE,AUTO,1,Alloy,80906,AMERICAN,LARGE SUV,FORD,8817,10563,12228,13965,8091,9707,11643,13460,,,19638,33619,FL,9500,0,1113,0
20,1/12/2010 0:04,ADESA,2005,5,MAZDA,MAZDA3,s,5D SEDAN GS,SILVER,MANUAL,1,Alloy,75108,OTHER ASIAN,MEDIUM,OTHER,6264,7477,9640,10930,5535,7532,9343,10966,,,19619,33619,FL,7400,0,1038,0
21,1/12/2010 0:04,ADESA,2006,4,DODGE,STRATUS 4C,SXT,4D SEDAN,GREEN,AUTO,1,Alloy,73870,AMERICAN,MEDIUM,CHRYSLER,5116,6138,7862,9432,4820,5937,8082,9233,,,19638,33619,FL,5500,0,1155,0
22,1/19/2010 0:04,ADESA,2005,5,CHEVROLET,COBALT,Bas,4D SEDAN,BLACK,AUTO,,,69430,AMERICAN,COMPACT,GM,4481,5568,7335,8281,4009,5044,6971,8771,,,5546,33619,FL,5600,0,728,1
23,1/3/2010 0:05,ADESA,2005,5,CHEVROLET,COBALT,Bas,4D SEDAN,GOLD,AUTO,2,Covers,75101,AMERICAN,COMPACT,GM,4245,5299,7010,8183,4224,5207,7590,8399,,,20928,33619,FL,5135,0,803,0
24,1/3/2010 0:05,ADESA,2005,5,CHRYSLER,PACIFICA FWD,Tou,4D SPORT TOURING,SILVER,AUTO,1,Alloy,85334,AMERICAN,CROSSOVER,CHRYSLER,7592,9194,10292,13662,7228,8967,10679,12522,,,20928,33619,FL,8335,0,1503,0
25,1/10/2010 0:05,ADESA,2002,8,PONTIAC,SUNFIRE,SE,2D COUPE SE,WHITE,AUTO,2,Covers,93395,AMERICAN,COMPACT,GM,2773,3768,4988,5905,2562,3583,4576,5709,,,19638,33619,FL,3100,0,1641,0
26,1/10/2010 0:05,ADESA,2006,4,SUZUKI,FORENZA,,4D SEDAN,GOLD,MANUAL,2,Covers,53463,OTHER ASIAN,MEDIUM,OTHER,4169,5138,7564,8488,3789,4903,7148,8730,,,20928,33619,FL,4300,0,505,0
27,1/10/2010 0:05,ADESA,2005,5,FORD,FOCUS,ZX4,4D SEDAN ZX4,RED,MANUAL,2,Covers,73516,AMERICAN,COMPACT,FORD,3656,4485,6635,7420,3612,4711,6925,7961,,,20928,33619,FL,5500,0,1155,0
28,1/24/2010 0:05,ADESA,2006,4,CHRYSLER,PT CRUISER,Bas,4D SEDAN,RED,AUTO,2,Covers,66568,AMERICAN,MEDIUM,CHRYSLER,5108,6069,8483,9557,4775,5796,8667,9390,,,20928,33619,FL,6150,0,1215,1
29,1/4/2010 0:10,ADESA,2007,3,PONTIAC,GRAND PRIX,Bas,4D SEDAN,SILVER,AUTO,2,Covers,88528,AMERICAN,LARGE,GM,7814,9358,11185,12745,7370,8840,11066,12664,,,5546,33619,FL,6800,0,2152,0
30,1/11/2010 0:10,ADESA,2004,6,TOYOTA,COROLLA,CE,4D SEDAN CE,SILVER,AUTO,2,Covers,74697,TOP LINE ASIAN,COMPACT,OTHER,4876,5748,8033,9497,4584,5345,6997,8242,,,19638,33619,FL,6800,0,569,0
31,1/18/2010 0:10,ADESA,2005,5,MERCURY,SABLE,GS,4D SEDAN GS,SILVER,AUTO,2,Covers,41513,AMERICAN,MEDIUM,FORD,3922,4860,7481,8693,3043,4075,5550,6898,,,5546,33619,FL,5150,0,693,0
32,1/25/2010 0:10,ADESA,2004,6,FORD,EXPEDITION 2WD V8,XLS,4D SUV 4.6L XLS,RED,AUTO,1,Alloy,92482,AMERICAN,LARGE SUV,FORD,7065,8576,10555,12937,7505,8825,11123,12386,,,5546,33619,FL,8100,0,1197,0
33,1/25/2010 0:10,ADESA,2003,7,HYUNDAI,ELANTRA,GLS,4D SEDAN,BEIGE,AUTO,2,Covers,82444,OTHER ASIAN,MEDIUM,OTHER,2152,3065,4673,5867,2837,3745,5383,6294,NO,GREEN,5546,33619,FL,3700,0,894,0
34,1/25/2010 0:10,ADESA,2006,4,MITSUBISHI,GALANT 4C,ES,4D SEDAN ES,BLUE,AUTO,2,Covers,97593,OTHER ASIAN,MEDIUM,OTHER,6060,7545,8988,10357,5545,6764,8949,10010,,,5546,33619,FL,6050,0,620,0
35,1/25/2010 0:10,ADESA,2008,2,DODGE,AVENGER 4C,SE,4D SEDAN,GREY,AUTO,2,Covers,54696,AMERICAN,MEDIUM,CHRYSLER,7646,8799,11607,12875,7627,8618,10734,12074,,,5546,33619,FL,8800,0,920,0
36,1/15/2010 0:11,ADESA,2004,6,MITSUBISHI,ENDEAVOR AWD,LS,4D SPORT UTILITY LS,SILVER,AUTO,1,Alloy,75878,OTHER ASIAN,MEDIUM SUV,OTHER,5584,6689,9409,10470,5526,7061,8850,10567,NO,GREEN,19638,33619,FL,7200,0,920,0
37,1/15/2010 0:11,ADESA,2006,4,CHEVROLET,COBALT,LS,4D SEDAN LS,WHITE,AUTO,2,Covers,87839,AMERICAN,COMPACT,GM,4529,5607,7233,8483,4698,5835,7597,8838,NO,GREEN,5546,33619,FL,5000,0,853,0
38,1/22/2010 0:11,ADESA,2007,3,CHRYSLER,300,Bas,4D SEDAN,WHITE,AUTO,2,Covers,66750,AMERICAN,SPECIALTY,CHRYSLER,9899,11476,14193,15739,10244,11923,14403,15902,,,5546,33619,FL,9500,0,1215,0
39,1/29/2010 0:11,ADESA,2006,4,PONTIAC,G6 V6,Bas,4D SEDAN,BLUE,AUTO,2,Covers,84747,AMERICAN,MEDIUM,GM,5906,7176,9925,11271,6415,7923,9487,11454,NO,GREEN,20740,33619,FL,7250,0,1373,0
40,1/6/2010 0:12,ADESA,2006,4,DODGE,STRATUS 4C,SXT,4D SEDAN,WHITE,AUTO,1,Alloy,67795,AMERICAN,MEDIUM,CHRYSLER,4324,5305,7702,8793,4725,6114,7608,9225,NO,GREEN,5546,33619,FL,5900,0,1020,0
41,1/13/2010 0:12,ADESA,2006,4,CHEVROLET,IMPALA,LT,4D SEDAN LT 3.9L,GOLD,AUTO,1,Alloy,54790,AMERICAN,LARGE,GM,5998,7477,9119,11266,6647,8000,9419,11204,NO,GREEN,19638,33619,FL,7800,0,1500,0
42,1/20/2010 0:12,ADESA,2005,5,KIA,SPECTRA,EX,4D SEDAN EX,MAROON,AUTO,2,Covers,25830,OTHER ASIAN,MEDIUM,OTHER,3384,4491,6170,8136,3638,4681,6560,7436,NO,GREEN,5546,33619,FL,6050,0,462,0
43,1/20/2010 0:12,ADESA,2008,2,FORD,F150 PICKUP 2WD V8,XL,EXT CAB 4.6L FX2 SPORT,GREY,AUTO,1,Alloy,82010,AMERICAN,LARGE TRUCK,FORD,17110,18927,21858,23457,16043,18461,20551,22416,NO,GREEN,5546,33619,FL,9100,0,853,0
44,1/19/2009 0:08,ADESA,2005,4,FORD,MUSTANG V6 4.0L V6 E,Bas,2D COUPE,BLUE,AUTO,1,Alloy,73576,AMERICAN,SPORTS,FORD,8780,10177,9982,11491,7870,9315,9000,10560,,,17675,20166,VA,9005,0,803,0
45,1/19/2009 0:08,ADESA,2007,2,DODGE,CHARGER V6 2.7L V6 M,Bas,4D SEDAN 2.7L,SILVER,AUTO,1,Alloy,47662,AMERICAN,SPECIALTY,CHRYSLER,9846,11346,11134,12754,10310,11882,11635,13333,,,17675,20166,VA,10315,0,975,0
46,1/26/2009 0:08,ADESA,2004,5,HYUNDAI,SONATA V6 2.7L V6 MP,GLS,4D SEDAN,GREY,AUTO,,,73731,OTHER ASIAN,MEDIUM,OTHER,3501,4869,4281,5759,3456,4636,4232,5507,,,20740,20166,VA,5275,0,803,1
47,1/26/2009 0:08,ADESA,2006,3,CHEVROLET,IMPALA 3.5L V6 SFI,LS,4D SEDAN LS,GREY,AUTO,2,Covers,63761,AMERICAN,LARGE,GM,6821,8172,7867,9326,7203,8521,8279,9703,,,20740,20166,VA,7185,0,1703,0
48,1/26/2009 0:08,ADESA,2003,6,CHEVROLET,TRAILBLAZER 4WD 6C 4,LS,4D SUV 4.2L LS,GREEN,AUTO,,,88176,AMERICAN,MEDIUM SUV,GM,5524,6643,6466,7674,5554,6732,6498,7771,,,20740,20166,VA,5775,0,2452,1
49,1/26/2009 0:08,ADESA,2003,6,CHEVROLET,TRAILBLAZER 4WD 6C 4,LS,4D SUV 4.2L LS,BLACK,AUTO,1,Alloy,70788,AMERICAN,MEDIUM SUV,GM,5524,6643,6466,7674,5419,6794,6353,7838,,,20740,20166,VA,6985,0,2274,1
50,1/26/2009 0:08,ADESA,2006,3,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN,GREY,AUTO,1,Alloy,49794,AMERICAN,MEDIUM,CHRYSLER,4372,5578,5222,6524,4837,6319,5724,7325,,,20740,20166,VA,5875,0,834,0
51,1/9/2009 0:09,ADESA,2007,2,HYUNDAI,SONATA V6 3.3L V6 MP,Lim,4D SEDAN,BLUE,AUTO,1,Alloy,66578,OTHER ASIAN,MEDIUM,OTHER,9790,11349,11073,12757,9731,11403,11009,12815,,,20740,20166,VA,7795,0,728,1
52,1/9/2009 0:09,ADESA,2004,5,HYUNDAI,ELANTRA 2.0L I4 MPI,GLS,4D SEDAN,RED,AUTO,2,Covers,81862,OTHER ASIAN,MEDIUM,OTHER,3652,4714,4444,5591,3408,4456,4181,5312,,,20740,20166,VA,4040,0,594,1
53,1/9/2009 0:09,ADESA,2004,5,DODGE,STRATUS 4C 2.4L I4 M,SE,4D SEDAN,SILVER,AUTO,2,Covers,73693,AMERICAN,MEDIUM,CHRYSLER,2761,3901,3482,4713,2587,3570,3294,4356,,,20740,20166,VA,4865,0,1155,1
54,1/16/2009 0:09,ADESA,2003,6,NISSAN,SENTRA 2.5L I-4 EFI,SE-,4D SEDAN SE-R,YELLOW,AUTO,1,Alloy,78106,TOP LINE ASIAN,COMPACT,OTHER,3364,4243,4133,5082,3252,3993,6398,7450,,,21973,20166,VA,5995,0,1220,0
55,1/23/2009 0:09,ADESA,2004,5,DODGE,DURANGO 4WD V8 5.7L,SLT,4D SUV 5.7L SLT,WHITE,AUTO,1,Alloy,64436,AMERICAN,MEDIUM SUV,CHRYSLER,8989,10810,10208,12175,7407,8915,11416,12794,,,20740,20166,VA,10715,0,1411,0
56,1/23/2009 0:09,ADESA,2007,2,HYUNDAI,SONATA 4C 2.4L I4 MP,GLS,4D SEDAN,BLACK,AUTO,2,Covers,72668,OTHER ASIAN,MEDIUM,OTHER,9725,10770,11003,12132,9725,10770,11003,12132,,,20740,20166,VA,6985,0,803,1
57,1/30/2009 0:09,ADESA,2007,2,CHRYSLER,PT CRUISER 2.4L I4 S,Tou,4D SEDAN,SILVER,AUTO,2,Covers,53163,AMERICAN,MEDIUM,CHRYSLER,5962,6833,6939,7880,5471,6404,6409,7416,,,5546,20166,VA,6345,0,1086,0
58,1/24/2010 0:02,ADESA,2007,3,SUZUKI,FORENZA,,4D SEDAN,RED,MANUAL,2,Covers,78619,OTHER ASIAN,MEDIUM,OTHER,5370,6204,8806,10017,5140,6024,8511,9538,,,52117,20166,VA,4480,0,569,0
59,1/10/2010 0:03,ADESA,2008,2,CHEVROLET,COBALT,LS,4D SEDAN LS,WHITE,AUTO,2,Covers,85364,AMERICAN,COMPACT,GM,7496,8087,10844,11416,6669,7185,9995,10483,,,52117,20166,VA,6000,0,853,0
60,1/24/2010 0:03,ADESA,2004,6,HONDA,ACCORD 4C,EX,4D SEDAN EX AUTO,GREEN,AUTO,1,Alloy,83703,TOP LINE ASIAN,MEDIUM,OTHER,8097,9256,11011,11834,7967,8889,11777,13140,,,52117,20166,VA,10125,0,594,0
61,1/25/2010 0:03,ADESA,2005,5,CHRYSLER,PACIFICA FWD,Bas,4D SPORT,SILVER,AUTO,1,Alloy,63774,AMERICAN,CROSSOVER,CHRYSLER,7478,8667,10417,11728,6659,8171,9948,11431,,,20740,20166,VA,8425,0,1215,0
62,1/28/2010 0:04,ADESA,2003,7,FORD,WINDSTAR FWD V6,SEL,4D PASSENGER 3.8L SEL,GREEN,AUTO,1,Alloy,97399,AMERICAN,VAN,FORD,3997,5125,7149,8154,3968,5413,7545,9959,,,52117,20166,VA,4680,0,2506,0
63,1/12/2010 0:05,ADESA,2006,4,MITSUBISHI,LANCER,ES,4D SEDAN ES,RED,AUTO,2,Covers,80135,OTHER ASIAN,COMPACT,OTHER,4991,6520,8047,9843,5355,6714,8798,10332,,,20740,20166,VA,4990,0,594,0
64,1/9/2010 0:06,ADESA,2005,5,CHRYSLER,PT CRUISER,Bas,4D SEDAN,GOLD,AUTO,2,Covers,52257,AMERICAN,MEDIUM,CHRYSLER,4063,5216,7574,8756,3490,4500,7219,8099,,,52117,20166,VA,5700,0,1086,0
65,1/16/2010 0:06,ADESA,2004,6,HONDA,ACCORD V6,EX,2D COUPE EX AUTO,WHITE,AUTO,1,Alloy,83292,TOP LINE ASIAN,MEDIUM,OTHER,7034,8699,10674,12210,6452,7953,10612,11842,,,19619,20166,VA,8290,0,1243,1
66,1/16/2010 0:06,ADESA,2004,6,MINI,COOPER,Bas,2D COUPE,YELLOW,AUTO,1,Alloy,81188,OTHER,COMPACT,OTHER,8329,9794,11857,13597,8266,9572,11722,12671,,,19619,20166,VA,7580,0,3265,0
67,1/7/2010 0:07,ADESA,2005,5,DODGE,NEON,SXT,4D SEDAN,SILVER,AUTO,,,75399,AMERICAN,COMPACT,CHRYSLER,2935,3841,6245,7138,3011,4031,5759,6770,,,19619,20166,VA,4805,0,686,1
68,1/7/2010 0:07,ADESA,2005,5,FORD,FREESTAR FWD V6,S,PASSENGER 3.9L,GOLD,AUTO,2,Covers,71094,AMERICAN,VAN,FORD,4178,5662,8231,9554,5131,6345,8925,10234,,,19619,20166,VA,5270,0,1506,0
69,1/21/2010 0:07,ADESA,2006,4,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 3.7L,BLUE,AUTO,1,Alloy,65259,AMERICAN,LARGE TRUCK,CHRYSLER,9835,12042,14462,16830,8499,10698,12696,14652,YES,GREEN,52117,20166,VA,11740,0,533,0
70,1/4/2010 0:08,ADESA,2004,6,CHEVROLET,TRAILBLAZER EXT 4WD,Nor,4D SUV 4.2L LS,MAROON,AUTO,1,Alloy,83285,AMERICAN,MEDIUM SUV,GM,6966,8773,10984,12868,5823,7326,9752,11319,,,52117,20166,VA,9030,0,2152,0
71,1/11/2010 0:08,ADESA,2003,7,NISSAN,MAXIMA,GLE,4D SEDAN GXE,WHITE,AUTO,1,Alloy,97543,TOP LINE ASIAN,LARGE,OTHER,4849,5978,8592,9824,4986,6189,8334,9453,,,52117,20166,VA,5990,0,1641,0
72,1/18/2010 0:08,ADESA,2007,3,HYUNDAI,ACCENT,GS,2D COUPE GS,BLUE,AUTO,2,Covers,56391,OTHER ASIAN,COMPACT,OTHER,4861,5864,8265,8942,3905,5091,7387,8835,,,52117,20166,VA,5490,0,754,0
73,1/25/2010 0:08,ADESA,2003,7,FORD,EXPLORER 4WD V6,XLT,4D SUV 4.0L FFV XLT,SILVER,AUTO,1,Alloy,81155,AMERICAN,MEDIUM SUV,FORD,5059,6445,8819,10220,5150,6518,8779,10001,,,52117,20166,VA,7320,0,2193,0
74,1/22/2010 0:09,ADESA,2007,3,CHRYSLER,SEBRING 4C,Tou,4D SEDAN TOURING,GREY,AUTO,1,Alloy,57103,AMERICAN,MEDIUM,CHRYSLER,8059,9166,12213,13256,7303,8845,10669,12429,,,52117,20166,VA,6960,0,920,0
75,1/22/2010 0:09,ADESA,2008,2,DODGE,CHARGER V6,Bas,4D SEDAN 2.7L,BLACK,AUTO,2,Covers,74214,AMERICAN,SPECIALTY,CHRYSLER,10232,11433,14163,15522,10054,11360,14002,15390,,,52117,20166,VA,8930,0,1389,0
76,1/29/2010 0:09,ADESA,2008,2,DODGE,CALIBER,SE,4D WAGON,SILVER,AUTO,2,Covers,51764,AMERICAN,MEDIUM,CHRYSLER,7621,8574,11642,12466,7394,8561,11399,12675,,,52117,20166,VA,6760,0,754,0
77,1/20/2010 0:10,ADESA,2005,5,DODGE,NEON,SXT,4D SEDAN,MAROON,AUTO,1,Alloy,67375,AMERICAN,COMPACT,CHRYSLER,3345,4367,6287,7755,3067,4147,6365,7592,,,52117,20166,VA,5750,0,630,0
78,1/20/2010 0:10,ADESA,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,SILVER,AUTO,2,Covers,70819,AMERICAN,LARGE,GM,7571,8806,10692,11995,8440,9842,11617,13154,NO,GREEN,52117,20166,VA,8450,0,1974,0
79,1/27/2010 0:10,ADESA,2005,5,TOYOTA,COROLLA,CE,4D SEDAN CE,GREY,AUTO,2,Covers,86497,TOP LINE ASIAN,COMPACT,OTHER,5627,6601,8687,9932,5805,6659,9040,10025,NO,GREEN,52117,20166,VA,7370,0,594,0
80,1/3/2010 0:11,ADESA,2005,5,MITSUBISHI,GALANT V6,LS,4D SEDAN ES,SILVER,AUTO,2,Covers,58482,OTHER ASIAN,MEDIUM,OTHER,6267,7957,9737,11177,6190,7165,9441,10534,NO,GREEN,52117,20166,VA,7460,0,671,0
81,1/28/2009 0:07,ADESA,2007,2,KIA,SPECTRA 2.0L I4 EFI,EX,4D SEDAN EX,WHITE,AUTO,2,Covers,48895,OTHER ASIAN,MEDIUM,OTHER,4264,5332,5105,6259,4455,5326,5311,6252,,,22916,50111,,6010,0,482,0
82,1/25/2009 0:08,ADESA,2004,5,DODGE,STRATUS 4C 2.4L I4 M,SE,4D SEDAN,SILVER,AUTO,2,Covers,90938,AMERICAN,MEDIUM,CHRYSLER,2766,3805,3487,4609,2681,3891,3395,4702,,,22916,50111,,3900,0,1341,0
83,1/8/2009 0:09,ADESA,2006,3,DODGE,MAGNUM V6 3.5L V6 MP,SE,WAGON 3.5L SXT,WHITE,AUTO,1,Alloy,73628,AMERICAN,SPECIALTY,CHRYSLER,8669,10525,9863,11867,8054,9651,9198,10923,,,99740,50111,,8725,0,1389,0
84,1/29/2009 0:09,ADESA,2005,4,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,BLUE,AUTO,2,Covers,81872,AMERICAN,LARGE,GM,4404,5807,5256,6772,3781,4945,7110,8638,,,99740,50111,,5290,0,2152,0
85,1/6/2009 0:10,ADESA,2004,5,SATURN,ION 2.0L I4 MPI,3,2D QUAD COUPE LEVEL 3,BLACK,MANUAL,1,Alloy,73730,AMERICAN,MEDIUM,GM,4767,6336,5648,7343,4304,5644,7229,8683,,,99740,50111,,4905,0,1038,0
86,1/20/2009 0:10,ADESA,2006,3,FORD,TAURUS 3.0L V6 EFI /,SEL,4D SEDAN SEL,SILVER,AUTO,1,Alloy,78697,AMERICAN,MEDIUM,FORD,5363,6720,6292,7758,5330,6563,8779,10200,,,99740,50111,,5310,0,920,0
87,1/22/2009 0:12,ADESA,2007,2,KIA,RONDO V6,EX,4D WAGON,BLACK,AUTO,1,Alloy,66256,OTHER ASIAN,CROSSOVER,OTHER,7609,8445,11818,12996,7873,9454,11560,13297,,,1231,50111,,8335,1,728,0
88,1/22/2009 0:12,ADESA,2006,3,CHEVROLET,HHR,LT,4D SUV 2.2L LS,BLACK,AUTO,1,Alloy,60442,AMERICAN,MEDIUM,GM,5693,6842,9586,11299,5906,7043,9398,10850,,,1231,50111,,6725,1,728,0
89,1/22/2009 0:12,ADESA,2007,2,SUBARU,FORESTER AWD,X,4D SPORT UTILITY 2.5X,SILVER,AUTO,3,,90667,OTHER ASIAN,SMALL SUV,OTHER,11490,14326,14773,17390,12162,14067,15269,17312,,,1231,50111,,9535,1,909,0
90,1/26/2010 0:01,ADESA,2004,6,SATURN,ION,2,4D SEDAN LEVEL 2,SILVER,AUTO,2,Covers,79107,AMERICAN,MEDIUM,GM,3400,4411,6576,7853,3747,4766,6624,7730,,,1231,50111,,4515,1,803,0
91,1/26/2010 0:01,ADESA,2007,3,CHRYSLER,PT CRUISER,Bas,4D SEDAN,BLACK,AUTO,2,Covers,59007,AMERICAN,MEDIUM,CHRYSLER,5488,6691,8878,10074,6151,7088,9363,10355,,,1231,50111,,5920,1,1086,0
92,1/9/2010 0:02,ADESA,2005,5,FORD,FIVE HUNDRED,Lim,4D SEDAN LIMITED,GOLD,AUTO,,,65614,AMERICAN,LARGE,FORD,6944,8643,10970,12877,6944,8643,10970,12877,,,22916,50111,,7725,0,1313,1
93,1/23/2010 0:03,ADESA,2004,6,FORD,EXPLORER 4WD V6,XLT,4D SUV 4.0L FFV XLT,BLACK,AUTO,1,Alloy,69119,AMERICAN,MEDIUM SUV,FORD,6849,8281,10419,11980,6488,8084,10077,11692,,,1231,50111,,9735,1,1508,0
94,1/30/2010 0:03,ADESA,2006,4,SUZUKI,FORENZA,,4D SEDAN,BLACK,AUTO,,,75822,OTHER ASIAN,MEDIUM,OTHER,4033,4912,6979,7885,3773,4637,7244,8162,,,1231,50111,,4795,1,569,1
95,1/30/2010 0:03,ADESA,2007,3,TOYOTA,YARIS,Bas,4D SEDAN,WHITE,MANUAL,2,Covers,74161,TOP LINE ASIAN,COMPACT,OTHER,7192,8036,10431,11546,6906,7900,10607,11679,,,1231,50111,,6120,1,569,0
96,1/6/2010 0:04,ADESA,2004,6,HONDA,ACCORD 4C,LX,4D SEDAN LX AUTO,BLUE,AUTO,2,Covers,79110,TOP LINE ASIAN,MEDIUM,OTHER,6988,7732,10001,10879,6623,7735,10099,11270,,,1231,50111,,8335,1,569,0
